TCGA-DU-5871
TCGA-HW-A5KM
TCGA-HT-7476
TCGA-FG-8188
TCGA-HT-7689
TCGA-E1-5307
TCGA-DU-5853
TCGA-HT-A5R5
TCGA-FG-A711
TCGA-DB-A64X
TCGA-HT-7606
TCGA-IK-7675
TCGA-HT-8013
TCGA-DU-8165
TCGA-E1-A7YE
TCGA-DU-A5TR
TCGA-TM-A84T
TCGA-P5-A5F2
TCGA-DU-6408
TCGA-WY-A85B
